name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Stephen Curry,90,PG,,6'3,190,88,53,77,83,59,43
James Harden,90,SG,,6'5,220,86,72,83,84,63,47
LeBron James,90,SF,PF,6'8,250,78,80,83,81,66,51
Kawhi Leonard,90,SF,PF,6'7,230,82,71,76,68,78,49
Kevin Durant,90,SF,PF,6'9,240,87,73,72,72,67,44
Paul George,90,SF,,6'9,220,79,68,76,69,78,52
Giannis Antetokounmpo,90,SF,PF,6'11,242,74,80,81,77,79,74
Anthony Davis,90,C,PF,6'10,253,83,87,83,62,77,82
Damian Lillard,89,PG,,6'3,195,87,60,83,86,55,42
Kyrie Irving,88,PG,,6'3,193,85,58,75,83,62,45
Joel Embiid,88,C,,7'0,250,81,84,77,52,69,79
Klay Thompson,87,SG,SF,6'7,215,86,62,72,66,73,38
Russell Westbrook,87,PG,SG,6'3,200,74,69,85,84,69,62
Nikola Jokic,87,C,,7'0,250,86,83,74,73,57,81
Karl-Anthony Towns,87,C,,7'0,248,87,84,79,63,61,84
Kemba Walker,86,PG,,6'1,184,85,52,79,85,59,42
Jimmy Butler,86,SF,SG,6'8,232,76,63,76,70,75,46
Rudy Gobert,86,C,,7'1,245,63,73,63,34,73,87
Donovan Mitchell,86,SG,,6'3,215,85,60,83,76,66,41
Blake Griffin,86,PF,C,6'10,250,78,85,83,70,59,58
C.J. McCollum,85,SG,,6'3,190,86,51,81,73,53,42
Victor Oladipo,85,SG,,6'4,210,76,55,75,70,71,44
DeMar DeRozan,85,SF,SG,6'7,220,81,74,79,75,62,48
LaMarcus Aldridge,85,PF,C,6'11,260,81,77,65,44,58,75
D'Angelo Russell,85,SG,,6'5,198,87,56,71,82,54,42
Luka Doncic,85,SF,SG,6'7,218,83,60,77,79,55,59
Ben Simmons,85,SF,PF,6'10,230,63,78,83,76,69,63
Bradley Beal,85,SG,,6'5,207,86,62,77,76,61,45
Mike Conley,85,PG,,6'1,175,86,47,78,85,66,39
Pascal Siakam,85,PF,,6'9,230,84,75,79,52,72,59
Kristaps Porzingis,85,PF,C,7'3,240,84,80,72,44,61,54
John Wall,84,PG,,6'4,210,75,58,80,83,68,35
Draymond Green,84,PF,C,6'7,230,64,63,78,74,79,55
Jrue Holiday,84,SG,,6'4,205,78,49,69,74,69,40
Andre Drummond,84,C,,6'11,279,61,73,72,41,68,86
De'Aaron Fox,84,PG,,6'3,175,81,52,82,84,67,41
Nikola Vucevic,84,C,,7'0,260,86,79,67,52,55,81
Devin Booker,84,SG,,6'6,210,87,51,69,76,52,40
Chris Paul,83,PG,,6'0,175,78,51,69,79,73,41
Al Horford,83,C,PF,6'10,245,83,74,70,60,71,61
Trae Young,83,PG,,6'2,180,84,51,75,85,47,42
Eric Bledsoe,83,PG,,6'1,205,74,52,75,78,72,43
Clint Capela,83,C,,6'10,240,64,69,74,32,65,85
Tobias Harris,83,PF,SF,6'9,235,86,71,70,59,52,53
Kyle Lowry,83,PG,,6'1,196,79,52,81,81,69,44
Zach LaVine,83,SG,,6'5,200,81,68,80,77,52,44
Jayson Tatum,83,SF,PF,6'8,208,79,66,74,65,63,50
Khris Middleton,83,SF,,6'8,222,84,59,68,69,64,48
Louis Williams,82,SG,PG,6'1,175,84,53,65,78,47,39
Buddy Hield,82,SG,SF,6'4,214,86,52,68,67,53,48
Jamal Murray,82,PG,SG,6'4,207,87,49,75,80,53,43
John Collins,82,PF,C,6'10,235,76,74,72,44,49,77
Kyle Kuzma,82,PF,,6'9,220,83,77,76,65,59,46
Montrezl Harrell,81,C,PF,6'8,240,74,81,76,37,63,66
Kevin Love,81,PF,C,6'10,251,79,76,69,51,49,68
Jusuf Nurkic,81,C,,7'0,275,73,71,60,44,60,85
Malcolm Brogdon,81,PG,SG,6'5,229,81,57,75,79,61,45
Bojan Bogdanovic,81,SF,PF,6'8,216,83,57,68,58,58,40
Danilo Gallinari,81,PF,SF,6'10,225,82,66,66,58,53,56
Lauri Markkanen,81,PF,C,7'0,240,83,68,62,51,51,65
Julius Randle,81,PF,C,6'9,250,81,77,78,62,53,67
Deandre Ayton,81,C,,7'1,250,77,73,75,52,60,80
Marvin Bagley III,81,PF,,6'11,234,78,75,75,49,52,74
Steven Adams,80,C,,7'0,265,64,67,65,37,68,72
Marcus Smart,80,SG,SF,6'4,220,63,46,74,65,75,36
Myles Turner,80,C,,6'11,250,83,71,68,38,67,64
Marc Gasol,80,C,,7'1,255,78,74,59,54,67,61
Paul Millsap,80,PF,,6'8,246,76,75,67,53,70,66
Jaren Jackson Jr.,80,PF,C,6'11,242,77,69,69,33,70,53
Zion Williamson,79,PF,,6'7,285,63,68,79,60,61,63
DeAndre Jordan,79,C,,6'11,265,52,62,74,34,61,81
Hassan Whiteside,79,C,,7'0,265,55,65,60,34,59,83
Aaron Gordon,79,PF,,6'9,220,75,74,77,57,63,56
DeMarcus Cousins,79,C,,6'11,270,71,82,70,63,57,65
JJ Redick,79,SG,,6'4,200,87,46,64,61,51,35
Enes Kanter,79,C,,6'11,250,76,76,66,43,35,85
Robert Covington,79,SF,,6'9,225,67,46,63,51,76,39
Domantas Sabonis,79,C,PF,6'11,240,82,74,66,42,42,84
Derrick Favors,79,PF,C,6'10,265,65,71,67,42,56,77
Otto Porter,79,SF,PF,6'8,198,80,61,69,64,60,50
Derrick Rose,79,PG,SG,6'3,200,84,53,79,79,52,38
T.J. Warren,79,SF,PF,6'8,215,79,62,66,55,54,41
Jonas Valanciunas,79,C,,7'0,265,79,71,65,38,56,80
