name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Stephen Curry,92,PG,SG,6'3,185,91,57,78,90,69,55
LeBron James,92,PF,,6'9,250,83,87,84,82,82,85
Kevin Durant,92,PF,,6'10,240,89,85,79,78,75,79
Giannis Antetokounmpo,92,PF,,6'11,242,81,88,83,79,82,81
Damian Lillard,90,PG,,6'2,195,88,67,82,88,68,59
James Harden,90,SG,,6'5,220,88,78,82,88,66,76
Luka Doncic,90,SF,,6'7,230,87,81,78,84,72,78
Nikola Jokic,90,C,,6'11,284,88,85,74,79,59,84
Kawhi Leonard,90,SF,,6'7,225,87,82,83,81,84,64
Joel Embiid,90,C,,7'0,280,86,88,76,60,73,86
Anthony Davis,89,PF,C,6'10,253,82,85,81,64,79,80
Jimmy Butler,88,SF,PF,6'7,230,86,78,82,82,80,68
Jayson Tatum,88,PF,,6'8,210,87,75,79,77,77,70
Trae Young,87,PG,,6'1,180,88,54,78,86,58,48
Chris Paul,87,PG,,6'0,175,88,58,75,85,77,43
Devin Booker,87,SG,,6'5,206,88,71,78,82,64,62
Bradley Beal,87,SG,,6'3,207,89,73,79,84,71,67
Kyrie Irving,87,PG,SG,6'2,195,89,60,74,87,64,51
Paul George,87,SF,,6'8,220,86,75,79,78,76,67
Donovan Mitchell,85,SG,,6'1,215,87,71,80,81,71,45
Rudy Gobert,85,C,,7'1,258,67,76,62,41,73,86
Zion Williamson,85,PF,,6'7,284,79,86,83,68,58,76
Karl-Anthony Towns,85,C,,6'11,248,84,83,78,65,60,80
Shai Gilgeous-Alexander,84,SG,SF,6'6,180,84,73,77,83,66,60
Zach LaVine,84,SG,SF,6'5,200,86,68,78,81,66,54
Klay Thompson,84,SG,SF,6'6,215,87,66,73,73,76,38
Bam Adebayo,84,C,,6'9,255,81,81,78,67,74,68
Khris Middleton,84,SF,PF,6'7,222,87,68,74,72,69,55
Jaylen Brown,84,SF,SG,6'6,223,85,70,77,72,76,51
Julius Randle,84,PF,,6'8,250,85,80,77,72,60,73
Ja Morant,83,PG,,6'3,174,83,59,78,85,59,42
Clint Capela,83,C,,6'10,240,66,74,73,32,69,87
Russell Westbrook,83,PG,,6'3,200,80,70,83,84,65,64
Ben Simmons,83,PF,SF,6'11,240,70,79,82,79,78,59
Domantas Sabonis,83,C,,6'11,240,80,83,64,64,52,80
Kristaps Porzingis,83,C,,7'3,240,84,81,72,47,61,69
De'Aaron Fox,82,PG,,6'3,185,82,55,77,83,66,38
Jrue Holiday,82,PG,SG,6'3,205,84,55,71,81,76,45
DeMar DeRozan,82,SF,PF,6'6,220,84,75,80,75,59,41
John Collins,82,PF,C,6'9,235,85,80,75,46,54,65
Tobias Harris,82,PF,SF,6'8,226,86,74,71,68,56,54
Jonas Valanciunas,82,C,,6'11,265,84,77,67,38,55,82
Nikola Vucevic,82,C,,6'11,260,85,80,66,57,53,74
Pascal Siakam,82,PF,C,6'9,230,83,73,76,69,70,56
Deandre Ayton,82,C,,6'11,250,80,80,75,51,60,81
Jamal Murray,81,PG,SG,6'3,215,85,65,74,81,64,41
Brandon Ingram,81,PF,,6'8,190,86,71,69,72,56,44
Jarrett Allen,81,C,,6'11,243,76,73,76,33,62,79
Michael Porter Jr.,81,PF,,6'10,218,86,68,77,59,55,62
LaMelo Ball,81,SG,SF,6'6,180,83,65,74,81,69,55
Jerami Grant,81,PF,,6'8,210,83,76,75,65,64,43
Jaren Jackson Jr.,81,PF,C,6'11,242,81,77,70,41,74,66
C.J. McCollum,80,SG,,6'3,190,86,53,77,79,58,40
Fred VanVleet,80,SG,PG,6'1,197,85,49,76,84,70,44
Kemba Walker,80,PG,,6'0,184,84,52,75,82,60,40
John Wall,80,PG,,6'3,210,78,58,79,81,71,37
D'Angelo Russell,80,SG,,6'4,193,84,64,70,84,60,48
Christian Wood,80,C,,6'10,214,78,80,67,39,56,74
Derrick Rose,80,PG,,6'2,200,86,59,77,81,56,37
R.J. Barrett,80,SF,,6'6,214,79,68,79,75,58,48
Dejounte Murray,80,PG,,6'4,180,83,60,69,80,71,55
Mike Conley,80,PG,,6'1,175,86,48,74,80,65,40
Gordon Hayward,80,SF,PF,6'7,225,85,63,75,72,59,48
LaMarcus Aldridge,79,C,PF,6'11,250,83,78,65,49,61,53
Anthony Edwards,79,SG,SF,6'4,225,80,67,79,74,62,46
Draymond Green,79,PF,,6'6,230,71,61,75,76,75,56
Mikal Bridges,79,SF,PF,6'6,209,84,54,77,67,76,44
Joe Ingles,79,SF,,6'8,220,85,54,65,70,65,40
Kyle Lowry,79,PG,,6'0,196,83,48,77,78,74,46
Andrew Wiggins,79,SF,,6'7,197,82,65,75,65,59,45
Keldon Johnson,79,SF,PF,6'5,220,81,66,75,64,56,56
Caris LeVert,79,SF,,6'6,205,82,67,72,74,61,44
Malcolm Brogdon,79,SG,,6'5,229,85,60,73,79,61,46
Wendell Carter Jr.,79,C,,6'10,270,78,77,68,48,57,73
De'Andre Hunter,79,SF,PF,6'8,225,85,62,73,58,67,47
Paul Millsap,78,PF,C,6'7,257,72,76,73,61,76,66
Chris Boucher,78,PF,C,6'9,200,78,73,68,34,55,69
Evan Fournier,78,SF,,6'7,205,85,50,65,71,58,36
Lonzo Ball,78,SG,,6'6,190,80,53,73,81,74,45
Jusuf Nurkic,78,C,,6'11,290,79,72,61,53,62,75
Brook Lopez,78,C,,7'0,282,81,70,57,36,64,51
Norman Powell,78,SF,,6'3,215,85,53,73,65,63,38
OG Anunoby,78,SF,PF,6'7,232,76,56,78,55,77,50
T.J. Warren,78,PF,,6'8,220,83,70,66,57,50,40
Jonathan Isaac,78,PF,,6'11,230,71,64,73,54,78,60
Malik Beasley,78,SG,SF,6'4,187,85,64,72,68,55,43
Jalen Green,78,SG,SF,6'6,186,82,64,77,69,59,43
Cade Cunningham,78,SG,,6'7,220,82,64,74,73,63,44
Tyrese Haliburton,78,SG,,6'5,185,86,55,73,77,64,38
Terry Rozier III,78,SG,PG,6'1,190,85,61,77,78,57,41
Danilo Gallinari,78,PF,,6'10,233,83,69,64,57,54,45
Bogdan Bogdanovic,78,SG,SF,6'6,220,87,63,71,71,54,40
Reggie Jackson,78,PG,SG,6'2,208,84,54,76,76,57,41
Dennis Schroder,78,PG,SG,6'3,172,83,48,74,79,55,38
Lauri Markkanen,78,PF,C,7'0,240,83,73,61,49,49,54
Darius Garland,78,PG,,6'1,192,84,55,76,82,48,33
Marcus Smart,77,SG,PG,6'3,220,77,51,77,64,76,39
Andre Drummond,77,C,,6'10,279,64,67,73,50,64,79
Mitchell Robinson,77,C,,7'0,240,66,68,64,41,69,74
Steven Adams,77,C,,6'11,265,63,72,62,43,63,76
Robert Williams,77,C,,6'8,237,69,65,71,41,64,81
Collin Sexton,77,SG,PG,6'1,190,83,56,78,76,53,38
Daniel Gafford,77,C,,6'10,234,68,73,72,36,58,73
Tim Hardaway Jr.,77,SF,SG,6'5,205,83,58,70,65,49,38
Richaun Holmes,77,C,,6'10,235,80,73,68,40,53,69
Miles Bridges,77,PF,SF,6'6,225,80,72,74,62,55,55
Serge Ibaka,77,C,PF,6'10,235,80,68,60,34,57,64
Enes Kanter,77,C,,6'10,250,78,78,64,41,36,83
Cody Zeller,77,C,,6'11,240,72,72,68,45,49,77
Robert Covington,77,PF,,6'7,209,76,59,68,56,77,53
Goran Dragic,77,PG,,6'3,190,84,54,70,75,56,42
Jeremy Lamb,77,SF,,6'5,180,84,56,68,63,58,49
Harrison Barnes,77,SF,PF,6'8,225,80,67,73,64,54,49
Rudy Gay,77,PF,,6'8,250,81,68,72,57,53,54
Mason Plumlee,77,C,,6'11,254,72,74,63,55,57,74
Tyler Herro,77,SG,,6'5,195,84,57,71,73,53,47
Eric Gordon,76,SG,,6'3,215,81,60,75,68,56,33
T.J. McConnell,76,PG,,6'1,190,81,49,69,78,71,45
Myles Turner,76,C,,6'11,250,77,68,57,31,64,49
Aaron Gordon,76,PF,,6'8,235,75,70,73,58,63,55
