name,overallAttribute,closeShot,midRangeShot,threePointShot,freeThrow,shotIQ,offensiveConsistency,layup,standingDunk,drivingDunk,postHook,postFade,postControl,drawFoul,hands,interiorDefense,perimeterDefense,steal,block,lateralQuickness,helpDefenseIQ,passPerception,defensiveConsistency,speed,acceleration,strength,vertical,stamina,hustle,overallDurability,passAccuracy,ballHandle,speedWithBall,passIQ,passVision,offensiveRebound,defensiveRebound
Aaron Gordon,80,77,78,76,75,65,70,84,95,95,58,60,74,60,95,74,76,38,56,76,75,68,75,71,67,72,92,95,90,84,65,62,66,60,45,55,60
Aaron Holiday,76,89,78,79,79,85,75,76,25,60,25,45,32,47,80,34,68,53,51,75,67,69,45,76,77,49,56,85,85,84,82,86,76,82,65,32,48
Aaron Nesmith,72,78,70,70,70,90,60,69,35,55,41,53,39,54,76,35,65,43,37,66,72,52,35,61,62,52,67,87,65,81,69,70,60,65,29,38,62
Aaron Wiggins,74,92,70,75,77,80,75,80,35,45,38,40,39,60,76,35,59,46,45,73,47,40,45,84,84,45,72,80,65,80,64,70,75,68,34,45,55
Admiral Schofield,69,70,72,73,70,55,45,70,45,65,62,62,59,47,80,59,66,41,47,74,60,57,45,59,59,65,78,85,80,80,59,73,59,62,32,36,52
Al Horford,80,91,89,78,86,60,55,65,75,65,76,84,83,50,84,82,68,37,81,67,85,78,85,53,48,91,69,95,85,78,79,50,33,84,65,64,80
Alec Burks,78,71,74,83,82,75,85,78,40,69,40,58,78,70,77,45,72,63,50,72,74,70,55,78,78,48,69,89,72,85,72,79,76,73,60,36,64
Aleksej Pokusevski,76,83,71,68,79,90,70,76,70,70,54,54,62,40,75,67,67,49,72,54,67,57,50,60,60,49,60,84,60,79,59,62,52,54,42,55,79
Alex Caruso,78,84,67,80,86,70,70,78,35,75,30,43,29,65,68,31,89,96,51,87,88,89,90,82,82,31,72,85,85,81,78,78,82,80,67,43,52
Alex Len,75,79,61,74,66,95,65,74,80,65,74,48,76,59,64,74,44,33,77,50,78,62,50,43,44,75,60,80,92,78,31,32,25,45,37,64,78
