name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Stephen Curry,90,PG,SG,6'2,185,90,54,77,87,64,47
Nikola Jokic,90,C,,6'11,284,85,85,70,77,54,76
Luka Doncic,90,SG,SF,6'7,230,87,80,80,86,68,79
Kevin Durant,90,PF,,6'10,240,88,82,75,77,70,60
LeBron James,90,SF,,6'9,250,82,85,84,82,77,67
Giannis Antetokounmpo,90,PF,,6'11,242,78,83,84,78,79,69
Joel Embiid,90,C,,7'0,280,83,87,76,55,70,79
Kawhi Leonard,89,SF,,6'7,225,88,78,78,77,80,50
Ja Morant,88,PG,,6'3,174,86,66,81,88,69,53
Jimmy Butler,88,SF,PF,6'7,230,83,79,82,80,80,52
Jayson Tatum,88,SF,PF,6'8,210,87,78,78,77,75,54
Damian Lillard,87,PG,,6'2,195,86,59,81,86,57,44
Trae Young,87,PG,,6'1,164,89,54,72,87,50,36
Chris Paul,87,PG,,6'0,175,87,56,74,87,75,38
Devin Booker,87,SG,,6'5,206,88,75,73,82,64,54
Anthony Davis,87,C,,6'10,253,78,82,82,61,77,73
Karl-Anthony Towns,86,C,,6'11,248,84,83,78,64,59,72
DeMar DeRozan,86,SF,PF,6'6,220,87,80,80,74,64,53
Kyrie Irving,85,PG,SG,6'2,195,88,58,73,80,58,37
Rudy Gobert,85,C,,7'1,258,68,75,63,40,72,87
James Harden,85,SG,,6'5,220,84,71,81,85,59,51
Bam Adebayo,85,C,,6'9,255,76,79,78,64,74,73
Zion Williamson,84,PF,C,6'6,284,76,84,81,66,52,67
Bradley Beal,84,SG,,6'4,207,85,68,78,81,60,46
Shai Gilgeous-Alexander,84,SG,,6'6,180,84,71,79,85,68,56
Darius Garland,84,PG,SG,6'1,192,88,55,76,85,51,34
Zach LaVine,84,SG,SF,6'5,200,86,76,80,80,67,52
Paul George,84,SF,,6'8,220,83,66,75,73,76,47
Jaylen Brown,84,SG,,6'6,223,86,74,80,75,71,52
Domantas Sabonis,83,C,,6'11,240,81,84,65,62,49,80
Donovan Mitchell,83,SG,,6'1,215,86,63,81,81,66,39
Khris Middleton,83,SF,PF,6'7,222,84,70,73,72,68,44
Dejounte Murray,83,PG,SG,6'4,180,81,63,75,85,72,56
Anthony Edwards,82,SF,,6'4,225,81,71,78,73,62,41
Brandon Ingram,82,SF,,6'8,190,85,72,68,71,55,46
Pascal Siakam,82,C,,6'8,230,81,80,75,67,69,63
Deandre Ayton,82,C,,6'11,250,80,79,75,49,58,75
Kristaps Porzingis,82,C,,7'3,240,80,80,71,48,62,73
Draymond Green,81,PF,C,6'6,230,66,59,73,74,78,58
LaMelo Ball,81,SG,,6'7,180,83,65,75,86,66,53
C.J. McCollum,81,PG,SG,6'3,190,84,52,77,77,52,40
Clint Capela,81,C,,6'10,256,61,72,72,30,65,87
Jrue Holiday,81,PG,SG,6'3,205,83,54,73,77,73,41
De'Aaron Fox,81,PG,,6'3,185,83,53,78,82,59,36
