name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaren Jackson Jr.,81,PF,C,6'11,242,81,75,69,38,71,55,235,C,23,MEM,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173
Wendell Carter Jr.,80,C,,6'10,270,79,77,69,51,56,72,84,C,23,ORL,57,54,1690,322,613,0.525,80,225,0.356,242,388,0.624,0.591,144,195,0.738,120,377,497,132,30,33,106,159,868
Michael Porter Jr.,77,PF,,6'10,218,77,65,75,58,52,55,390,SF,24,DEN,62,62,1798,398,817,0.487,188,454,0.414,210,363,0.579,0.602,96,120,0.8,64,277,341,65,37,29,68,119,1080
T.J. Warren,76,SF,PF,6'8,220,77,69,65,55,48,38,498,PF-SFPFSF,87,TOTBRKPHO,84,0,1374,264,540,0.489,44,134,0.328,220,406,0.542,0.53,56,70,0.8,52,190,242,80,44,24,40,130,628
Kelly Oubre Jr.,76,SF,,6'6,203,77,57,73,60,58,45,379,SF,27,CHO,48,40,1548,353,819,0.431,108,339,0.319,245,480,0.51,0.497,158,208,0.76,65,184,249,54,68,18,64,141,972
Gary Trent Jr.,76,SG,SF,6'5,209,85,59,73,60,53,32,479,SG,24,TOR,66,44,2118,405,935,0.433,166,450,0.369,239,485,0.493,0.522,172,205,0.839,30,143,173,106,104,14,55,102,1148
Larry Nance Jr.,75,PF,,6'7,245,74,68,70,54,59,63,356,C,30,NOP,65,1,1381,186,305,0.61,14,42,0.333,172,263,0.654,0.633,55,79,0.696,106,248,354,119,56,37,42,133,441
Herbert Jones,75,SF,PF,6'7,206,74,64,69,60,69,42,253,PF,24,NOP,66,66,1951,235,501,0.469,56,167,0.335,179,334,0.536,0.525,123,161,0.764,97,172,269,162,103,42,88,208,649
Jabari Smith Jr.,75,PF,C,6'10,220,72,68,69,59,61,60,453,PF,19,HOU,79,79,2451,364,892,0.408,120,391,0.307,244,501,0.487,0.475,162,206,0.786,122,447,569,101,43,74,104,227,1010
P.J. Washington,75,PF,C,6'7,230,77,71,70,53,52,51,500,PF,24,CHO,73,73,2380,434,978,0.444,149,428,0.348,285,550,0.518,0.52,127,174,0.73,73,285,358,175,66,79,110,193,1144
P.J. Tucker,74,PF,C,6'5,245,76,51,70,52,64,54,480,PF,37,PHI,75,75,1920,96,225,0.427,55,140,0.393,41,85,0.482,0.549,19,23,0.826,95,200,295,60,39,15,44,180,266
Tim Hardaway Jr.,74,SG,SF,6'5,205,77,57,68,64,48,39,189,SF,30,DAL,71,45,2152,340,847,0.401,212,550,0.385,128,297,0.431,0.527,127,165,0.77,21,230,251,129,49,12,60,120,1019
