name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Porter Jr.,81,PF,,6'10,218,86,68,77,59,55,62,452,SF,23,DEN,9,9,265,37,103,0.359,10,48,0.208,27,55,0.491,0.408,5,9,0.556,9,50,59,17,10,2,12,16,89
Jaren Jackson Jr.,81,PF,C,6'11,242,81,77,70,41,74,66,270,PF,22,MEM,78,78,2126,430,1036,0.415,128,401,0.319,302,635,0.476,0.477,284,345,0.823,119,335,454,86,73,177,130,272,1272
Wendell Carter Jr.,79,C,,6'10,270,78,77,68,48,57,73,96,PF,22,ORL,62,61,1852,359,684,0.525,70,214,0.327,289,470,0.615,0.576,143,207,0.691,139,509,648,171,36,43,117,169,931
Dennis Schroder,78,PG,SG,6'3,172,83,48,74,79,55,38,493,PGPGPG,84,TOTBOSHOU,128,58,3674,624,1448,0.431,172,500,0.344,452,948,0.477,0.49,314,368,0.853,68,360,428,592,106,16,286,308,1734
Tim Hardaway Jr.,77,SF,SG,6'5,205,83,58,70,65,49,38,217,SG,29,DAL,42,20,1245,209,530,0.394,102,304,0.336,107,226,0.473,0.491,78,103,0.757,13,143,156,92,38,6,34,74,598
T.J. McConnell,76,PG,,6'1,190,81,49,69,78,71,45,363,PG,29,IND,27,8,652,100,208,0.481,10,33,0.303,90,175,0.514,0.505,19,23,0.826,20,70,90,131,29,10,29,53,229
Larry Nance Jr.,76,PF,,6'7,245,78,68,70,56,61,57,404,C-PFCPF,87,TOTPORNOP,92,22,2080,258,494,0.522,46,140,0.329,212,354,0.599,0.569,80,114,0.702,144,352,496,162,86,40,74,168,642
P.J. Washington,76,PF,C,6'7,230,77,69,72,55,56,57,569,C,23,CHO,65,28,1768,250,532,0.47,110,301,0.365,140,231,0.606,0.573,58,81,0.716,82,255,337,147,57,61,82,152,668
Kelly Oubre Jr.,76,SF,,6'7,203,76,58,73,62,59,54,432,SF,26,CHO,76,13,1999,410,932,0.44,191,553,0.345,219,379,0.578,0.542,126,189,0.667,79,223,302,84,77,31,67,189,1137
Kevin Porter Jr.,75,SG,,6'4,203,80,56,73,75,51,40,451,PG,21,HOU,61,61,1907,335,808,0.415,155,413,0.375,180,395,0.456,0.511,124,193,0.642,43,224,267,376,69,22,192,156,949
Gary Trent Jr.,75,SG,SF,6'5,209,80,59,74,61,50,35,547,SG,23,TOR,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283
Marvin Bagley III,74,PF,C,6'11,235,72,71,70,43,47,66,24,PFPFPF,66,TOTSACDET,96,50,2306,450,892,0.504,46,194,0.237,404,698,0.579,0.53,134,202,0.663,210,466,676,72,44,36,78,186,1080
