name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Klay Thompson,88,SG,SF,6'6,215,88,65,75,71,78,46
C.J. McCollum,83,SG,PG,6'3,190,84,53,79,76,57,41
Jonathan Isaac,82,SF,PF,6'11,210,64,62,77,57,81,62
Louis Williams,80,PG,SG,6'1,175,83,54,71,79,56,50
Devonte Graham,79,PG,SG,6'1,185,78,55,75,83,57,41
Marcus Morris Sr,79,PF,SF,6'8,235,83,64,70,50,59,55
Enes Kanter,78,C,,6'10,250,72,73,66,47,44,87
Otto Porter,78,SF,PF,6'8,198,78,63,71,65,62,49
Mohamed Bamba,77,C,,7'0,221,65,69,73,39,64,81
Terry Rozier III,77,PG,SG,6'1,190,82,60,77,81,59,44
Patrick Mills,77,PG,,6'1,180,83,44,71,78,50,35
Danuel House,75,SF,PF,6'6,220,75,64,67,58,53,45
Zach Collins,75,PF,C,6'11,235,70,67,69,39,56,52
Harry Giles III,75,C,PF,6'11,240,76,71,69,53,53,76
Frank Kaminsky III,75,C,PF,7'0,242,79,71,65,47,47,65
James Ennis,75,SF,SG,6'6,210,75,62,62,56,61,57
R.J. Barrett,75,SG,SF,6'6,210,70,67,77,72,55,50
Juan Hernangomez,74,PF,SF,6'9,230,64,63,67,51,54,62
Omari Spellman,74,C,PF,6'8,245,77,70,70,38,54,68
DeAndre Bembry,74,SG,PG,6'5,210,70,63,69,68,66,51
Cameron Reddish,74,SF,SG,6'8,208,65,58,73,64,62,45
Sviatoslav Mykhailiuk,73,SF,SG,6'7,205,71,51,70,62,45,37
Chris Clemons,73,PG,,5'9,180,75,51,75,75,47,38
Nicolas Claxton,73,C,PF,6'11,217,70,67,72,45,52,68
Wesley Iwundu,73,SF,SG,6'6,195,72,54,66,58,57,46
P.J. Dozier,72,SG,PG,6'6,205,63,54,71,69,57,44
Kevin Knox II,72,SF,PF,6'7,215,61,62,74,61,57,48
Juan Toscano,71,SF,PF,6'6,209,62,50,71,61,57,53
Xavier Tillman,70,PF,C,6'8,250,57,59,64,57,65,70
Brian Bowen II,69,SG,SF,6'6,200,68,51,67,58,54,36
C.J. Elleby,68,SF,SG,6'6,200,62,52,69,54,58,46
Mamadi Diatke,68,PF,C,6'9,228,61,59,76,40,56,67
Kenyon Martin Jr.,67,SF,PF,6'7,215,54,57,71,50,53,56
