name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
C.J. McCollum,81,PG,SG,6'3,190,86,87,80,99,65,89,83,25,35,74,27,33,41,99,77,79,75,55,89,87,77,85,78,68,79,30,65,65,71,45,41,45,60,32,48,99,87
Robert Williams III,80,C,,6'9,237,87,64,25,99,62,80,77,85,70,49,60,55,45,99,66,57,70,78,75,85,33,43,52,34,57,84,35,83,59,83,38,87,85,85,72,99,82
R.J. Barrett,80,SF,,6'6,214,72,68,73,99,68,89,84,40,75,84,74,47,50,99,79,79,77,71,87,75,77,78,79,59,82,53,77,74,78,69,31,37,70,34,60,99,86
Bobby Portis Jr.,78,C,,6'10,250,86,75,78,99,74,65,69,70,65,69,70,70,70,99,60,59,59,75,80,85,54,47,50,27,47,73,35,70,45,60,36,58,60,63,80,99,82
Lonzo Ball,77,SG,,6'6,190,50,60,81,99,74,80,74,25,70,54,35,30,39,99,80,80,75,47,88,65,80,81,83,65,84,55,81,80,81,85,75,57,80,36,57,99,86
Terry Rozier III,77,SG,PG,6'1,190,80,83,76,99,79,85,82,35,65,73,43,40,48,99,77,77,76,57,87,82,77,83,79,70,80,50,70,54,72,60,48,45,45,31,48,99,82
Mohamed Bamba,76,C,,7'0,231,70,60,70,99,67,75,69,80,65,60,64,64,59,99,70,56,70,63,73,70,27,41,30,29,46,72,43,75,59,59,32,83,60,61,80,99,80
Danilo Gallinari,75,PF,,6'10,236,76,73,77,99,88,50,71,40,70,30,69,61,67,99,55,55,61,61,80,75,55,71,61,31,55,64,51,65,63,57,30,35,60,31,64,99,79
Nicolas Claxton,75,C,,6'11,215,72,59,62,99,45,70,70,75,70,61,67,67,59,99,58,57,74,66,85,84,39,44,35,27,43,69,59,67,59,39,35,78,50,67,67,99,79
Chet Holmgren,75,C,,7'0,195,72,66,70,99,67,55,65,70,70,47,63,64,63,99,55,55,70,40,82,80,42,60,55,39,54,72,54,75,64,67,47,78,65,70,70,99,80
Marcus Morris Sr.,75,PF,,6'8,218,86,83,75,99,76,55,65,50,65,59,76,63,62,99,68,42,64,70,86,75,44,55,55,38,39,59,63,65,70,56,31,45,55,29,56,99,79
Derrick Favors,74,C,,6'9,265,72,67,44,99,69,40,73,80,65,45,72,72,67,99,60,50,71,80,75,65,36,45,35,26,64,68,53,63,52,40,36,51,55,62,71,99,77
Otto Porter,74,PF,,6'8,198,70,75,73,99,78,40,70,40,65,42,53,60,62,99,63,62,68,55,88,65,61,72,65,33,65,58,68,61,71,59,68,55,40,54,73,99,78
Frank Kaminsky III,74,C,,7'0,240,76,63,73,99,78,60,73,45,60,63,73,74,74,99,42,48,62,61,84,80,33,49,35,35,45,45,35,58,37,45,58,68,35,53,63,99,77
Xavier Tillman,74,C,,6'8,245,84,58,52,99,55,75,71,70,60,41,61,62,61,99,41,39,64,67,77,86,32,56,57,38,63,73,61,75,62,79,84,53,70,63,57,99,79
Kenyon Martin Jr.,73,PF,,6'5,215,70,63,74,99,53,80,69,60,75,50,39,39,39,99,78,78,77,57,75,55,64,71,59,33,59,45,62,57,65,39,32,57,35,46,57,99,80
Devonte Graham,73,PG,,6'1,195,59,67,72,99,74,75,75,25,55,61,31,25,27,99,77,77,74,29,87,80,77,81,77,65,78,25,65,60,71,63,41,32,50,29,38,99,79
Nah'Shon Hyland,73,PG,SG,6'2,169,59,74,73,99,87,89,73,25,55,65,27,25,27,99,82,82,63,27,83,65,79,70,65,60,65,25,56,55,67,54,38,48,40,26,57,99,79
Cameron Thomas,73,SF,,6'3,210,70,82,62,99,75,70,70,45,70,50,45,53,65,99,72,72,74,49,81,60,65,73,54,34,47,36,54,54,70,53,37,35,35,27,53,99,81
Cameron Reddish,73,SF,,6'8,217,67,53,70,99,70,70,68,45,75,35,30,38,47,99,80,80,79,47,85,60,74,70,53,28,54,50,76,75,76,75,65,48,70,33,41,99,80
