name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Kevin Durant,90,SF,PF,6'9,240,87,73,72,72,67,44
Klay Thompson,87,SG,SF,6'7,215,86,62,72,66,73,38
C.J. McCollum,85,SG,,6'3,190,86,51,81,73,53,42
John Wall,84,PG,,6'4,210,75,58,80,83,68,35
Louis Williams,82,SG,PG,6'1,175,84,53,65,78,47,39
DeMarcus Cousins,79,C,,6'11,270,71,82,70,63,57,65
Enes Kanter,79,C,,6'11,250,76,76,66,43,35,85
Otto Porter,79,SF,PF,6'8,198,80,61,69,64,60,50
Terry Rozier III,77,PG,SG,6'1,190,77,61,75,79,59,49
R.J. Barrett,77,SF,SG,6'7,210,73,59,75,70,53,53
Marcus Morris Sr,77,PF,SF,6'9,235,80,62,69,45,56,55
Gerald Green,75,SF,SG,6'7,205,76,61,69,53,51,41
Kevin Knox II,75,SF,PF,6'9,215,71,63,74,57,54,46
Mohamed Bamba,75,C,,7'0,221,64,67,72,36,62,74
Frank Kaminsky III,75,C,PF,7'0,242,78,69,66,45,47,60
Pau Gasol,74,C,,7'0,250,73,69,52,51,50,69
Patrick Mills,74,PG,,6'0,180,78,41,71,76,48,37
Juan Hernangomez,74,SF,PF,6'9,230,68,61,68,50,55,57
Cameron Reddish,74,SF,,6'8,208,70,54,72,62,59,37
Ivan Rabb,73,PF,C,6'10,220,65,59,63,36,43,71
Harry Giles III,73,C,PF,6'10,240,73,68,70,54,54,69
Danuel House,72,SF,PF,6'7,220,72,52,62,53,43,42
James Ennis,72,SF,PF,6'7,210,68,58,58,51,58,45
DeAndre Bembry,72,SF,SG,6'6,210,66,57,65,66,58,50
Antonio Blakeney,71,SG,,6'4,192,74,47,68,55,42,39
Nicolas Claxton,71,C,,7'0,217,63,63,71,40,52,64
Darius Miller,71,SF,,6'8,225,72,44,65,49,44,30
Wesley Iwundu,71,SF,SG,6'7,195,67,53,63,54,54,44
Dylan Windler,70,SF,SG,6'8,196,67,41,62,55,47,57
Kezie Okpala,70,SF,,6'10,210,62,56,69,56,53,46
Jacob Evans III,70,SG,SF,6'6,210,66,54,72,63,57,38
Deyonta Davis,70,C,,7'0,237,61,61,62,31,52,70
Miles Plumlee,69,C,,6'11,249,54,58,66,40,56,64
Devonte Graham,69,PG,,6'2,185,68,47,68,70,50,36
Jemerrio Jones,69,PF,,6'5,201,56,50,66,54,51,69
Sviatoslav Mykhailiuk,69,SF,SG,6'8,205,64,47,69,59,42,35
Tyler Lydon,69,PF,,6'10,225,65,53,61,44,48,48
Melvin Frazier Jr.,69,SG,SF,6'6,200,61,45,71,55,56,37
Yante Maten,69,PF,C,6'8,240,68,56,63,40,46,47
Thomas Welsh,68,C,,7'0,255,69,54,57,39,44,65
