name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaren Jackson Jr.,81,PF,C,6'11,242,72,84,69,99,78,85,77,80,75,47,74,74,74,99,58,60,70,67,85,75,28,55,40,26,45,80,66,83,71,66,41,87,80,48,62,99,88,235,C,23,MEM,63,63,1787,416,822,0.506,100,282,0.355,316,540,0.585,0.567,241,306,0.788,108,318,426,60,65,189,107,227,1173
Wendell Carter Jr.,80,C,,6'10,270,82,88,70,99,66,70,73,75,70,74,76,77,77,99,63,50,63,77,80,85,42,45,51,56,65,73,42,75,45,65,31,56,65,59,86,99,83,84,C,23,ORL,57,54,1690,322,613,0.525,80,225,0.356,242,388,0.624,0.591,144,195,0.738,120,377,497,132,30,33,106,159,868
Michael Porter Jr.,77,PF,,6'10,218,75,79,73,99,65,75,79,55,75,50,63,45,57,99,75,76,83,63,83,75,72,73,60,32,57,55,59,55,68,63,51,37,35,39,72,99,88,390,SF,24,DEN,62,62,1798,398,817,0.487,188,454,0.414,210,363,0.579,0.602,96,120,0.8,64,277,341,65,37,29,68,119,1080
T.J. Warren,76,SF,PF,6'8,220,82,70,67,99,76,70,87,45,75,70,57,57,63,99,56,56,58,70,86,65,55,73,60,27,60,49,57,60,63,57,30,25,45,29,47,99,83,498,PF-SFPFSF,87,TOTBRKPHO,84,0,1374,264,540,0.489,44,134,0.328,220,406,0.542,0.53,56,70,0.8,52,190,242,80,44,24,40,130,628
Kelly Oubre Jr.,76,SF,,6'6,203,78,71,73,99,58,85,81,35,79,69,28,30,37,99,67,77,87,53,85,70,64,73,65,27,75,44,69,65,71,70,48,50,50,40,50,99,78,379,SF,27,CHO,48,40,1548,353,819,0.431,108,339,0.319,245,480,0.51,0.497,158,208,0.76,65,184,249,54,68,18,64,141,972
Gary Trent Jr.,76,SG,SF,6'5,209,80,79,77,99,86,89,77,35,70,64,41,39,52,99,80,80,85,53,75,65,72,66,65,32,66,45,56,55,69,59,71,40,30,25,39,99,79,479,SG,24,TOR,66,44,2118,405,935,0.433,166,450,0.369,239,485,0.493,0.522,172,205,0.839,30,143,173,106,104,14,55,102,1148
Larry Nance Jr.,75,PF,,6'7,245,82,74,71,99,56,65,67,80,80,55,64,53,49,99,60,55,81,64,83,80,44,59,64,38,65,63,43,70,56,84,54,53,50,57,69,99,78,356,C,30,NOP,65,1,1381,186,305,0.61,14,42,0.333,172,263,0.654,0.633,55,79,0.696,106,248,354,119,56,37,42,133,441
Herbert Jones,75,SF,PF,6'7,206,64,66,72,99,72,75,74,50,70,50,57,57,57,99,69,69,67,54,77,80,64,70,64,35,70,47,74,70,76,73,78,60,75,42,43,99,79,253,PF,24,NOP,66,66,1951,235,501,0.469,56,167,0.335,179,334,0.536,0.525,123,161,0.764,97,172,269,162,103,42,88,208,649
Jabari Smith Jr.,75,PF,C,6'10,220,68,67,73,99,75,50,70,60,80,49,64,64,64,99,71,71,70,55,84,65,64,70,60,44,61,65,64,62,67,62,59,60,50,52,69,99,88,453,PF,19,HOU,79,79,2451,364,892,0.408,120,391,0.307,244,501,0.487,0.475,162,206,0.786,122,447,569,101,43,74,104,227,1010
P.J. Washington,75,PF,C,6'7,230,81,61,75,99,66,80,69,60,75,55,70,70,70,99,70,70,64,63,80,75,58,65,50,37,55,57,47,59,62,57,38,67,35,43,60,99,82,500,PF,24,CHO,73,73,2380,434,978,0.444,149,428,0.348,285,550,0.518,0.52,127,174,0.73,73,285,358,175,66,79,110,193,1144
