name,overall,position,secondary_position,height,weight,shooting,inside_scoring,athleticism,playmaking,defense,rebounding
Kawhi Leonard,90,SF,,6'7,225,87,82,83,81,84,64
Zion Williamson,85,PF,,6'7,284,79,86,83,68,58,76
Ben Simmons,83,PF,SF,6'11,240,70,79,82,79,78,59
Jamal Murray,81,PG,SG,6'3,215,85,65,74,81,64,41
C.J. McCollum,80,SG,,6'3,190,86,53,77,79,58,40
John Wall,80,PG,,6'3,210,78,58,79,81,71,37
R.J. Barrett,80,SF,,6'6,214,79,68,79,75,58,48
T.J. Warren,78,PF,,6'8,220,83,70,66,57,50,40
Jonathan Isaac,78,PF,,6'11,230,71,64,73,54,78,60
Terry Rozier III,78,SG,PG,6'1,190,85,61,77,78,57,41
Enes Kanter,77,C,,6'10,250,78,78,64,41,36,83
Devonte Graham,76,PG,SG,6'1,195,79,50,72,78,52,36
Bobby Portis Jr.,76,C,PF,6'10,250,79,69,63,40,50,67
Louis Williams,75,PG,SG,6'1,175,81,52,63,73,44,35
Marcus Morris Sr.,75,PF,,6'8,218,81,63,61,39,50,40
Kenyon Martin Jr.,75,PF,,6'6,215,77,60,72,58,52,61
Patrick Mills,75,PG,,6'1,180,85,44,69,73,46,32
Xavier Tillman,75,C,PF,6'8,245,75,68,61,48,66,60
Otto Porter,74,PF,,6'8,198,78,58,60,56,48,56
Kendrick Nunn,74,PG,SG,6'2,190,85,54,70,67,49,39
Cameron Reddish,74,SF,,6'8,218,71,57,71,60,66,42
Juan Hernangomez,74,PF,PF,6'9,214,74,64,64,46,49,58
Juan Toscano,73,PF,,6'6,209,77,52,68,60,57,51
James Wiseman,73,C,,7'0,240,73,66,64,41,52,60
Dario Saric,73,C,,6'10,225,76,64,60,55,46,53
Sviatoslav Mykhailiuk,73,SF,,6'7,205,76,52,67,59,44,38
E'Twaun Moore,72,SG,PG,6'3,191,77,52,73,68,54,46
Frank Kaminsky III,72,PF,C,7'0,240,72,65,57,38,39,58
Nicolas Claxton,72,C,,6'11,215,68,66,64,33,54,63
Mohamed Bamba,72,C,,7'0,231,70,62,62,30,55,70
DeAndre Bembry,71,SG,,6'5,210,73,60,67,67,63,45
Michael Carter-Williams,71,SG,,6'5,190,69,59,67,72,62,49
Kevin Knox II,71,SF,PF,6'7,215,67,64,73,56,55,42
Wayne Selden Jr.,70,SG,SF,6'5,230,70,62,67,55,53,43
Trey Murphy,70,PF,,6'8,206,72,50,68,46,52,39
Danuel House,69,SF,PF,6'6,220,70,58,58,51,44,37
P.J. Dozier,69,SF,,6'6,205,70,49,63,56,49,43
Cameron Thomas,69,SG,,6'5,210,76,59,63,48,41,26
J.T. Thor,69,PF,,6'9,203,68,58,67,54,51,47
Jason Preston,69,PG,SG,6'3,181,74,50,66,68,47,44
Greg Brown,68,SF,PF,6'8,206,69,59,64,39,45,45
C.J. Elleby,68,SG,SF,6'6,200,72,50,64,48,51,50
Nah'Shon Hyland,68,SG,,6'2,169,76,46,62,58,43,29
