name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Kawhi Leonard,90,SF,,6'7,225,88,83,76,99,85,95,82,65,82,88,86,75,85,99,81,81,82,78,89,92,80,79,79,78,89,79,86,89,86,89,85,68,95,60,69,99,97
Zion Williamson,85,PF,,6'7,284,86,67,67,99,67,89,86,85,86,89,86,84,75,99,83,83,86,82,82,85,71,75,62,66,69,66,52,69,73,67,38,54,45,74,79,99,96
Ben Simmons,83,PF,SF,6'11,240,81,43,55,99,58,89,82,80,83,77,75,73,70,99,83,83,82,77,86,86,81,83,76,73,86,76,84,86,83,83,80,53,82,49,69,99,87
Jamal Murray,81,PG,SG,6'3,215,84,76,81,99,81,89,86,27,80,79,71,35,43,99,76,76,77,51,85,82,74,85,82,77,89,32,76,72,75,72,69,49,67,34,48,99,87
C.J. McCollum,80,SG,,6'3,190,86,86,81,99,80,89,79,27,37,76,29,35,43,99,79,81,77,57,86,85,79,83,79,79,79,32,68,69,73,55,58,48,65,32,48,99,86
John Wall,80,PG,,6'3,210,75,66,72,99,72,89,82,25,77,57,39,32,54,99,85,85,81,57,85,85,85,84,82,79,79,35,82,79,82,83,74,58,77,28,46,99,85
R.J. Barrett,80,SF,,6'6,214,71,69,79,99,71,89,81,42,77,69,76,49,52,99,81,81,79,73,85,77,79,80,76,63,81,55,74,66,76,61,35,42,62,37,60,99,86
T.J. Warren,78,PF,,6'8,220,82,79,75,99,78,89,83,47,77,72,59,59,65,99,58,58,60,72,82,67,57,75,62,29,62,51,59,62,65,59,32,25,47,31,49,99,83
Jonathan Isaac,78,PF,,6'11,230,60,71,72,99,72,55,62,55,77,30,70,57,63,99,68,71,75,65,80,80,61,71,60,28,50,70,81,79,79,80,78,81,80,51,69,99,80
Terry Rozier III,78,SG,PG,6'1,190,82,80,81,99,80,89,79,37,67,71,45,42,50,99,79,79,78,59,83,84,79,83,80,67,82,52,72,56,74,62,50,48,47,32,51,99,82
Enes Kanter,77,C,,6'10,250,82,74,52,99,75,89,76,82,57,71,80,80,80,99,59,25,57,80,83,85,30,47,37,30,61,49,25,36,25,42,33,60,25,83,83,99,79
Devonte Graham,76,PG,SG,6'1,195,53,78,77,99,79,89,69,25,57,67,33,27,29,99,79,79,76,31,85,82,79,83,79,70,80,27,67,62,73,65,39,32,52,29,43,99,79
Bobby Portis Jr.,76,C,PF,6'10,250,75,74,73,99,65,89,58,65,60,64,72,70,70,99,55,54,54,70,75,75,49,42,45,25,42,68,30,65,40,55,43,46,55,59,76,99,79
Louis Williams,75,PG,SG,6'1,175,72,69,77,99,81,89,83,25,40,70,25,25,55,99,75,75,67,26,80,59,75,82,70,66,74,25,55,55,69,43,41,30,40,28,42,99,81
Marcus Morris Sr.,75,PF,,6'8,218,76,78,78,99,71,89,60,45,60,54,71,58,57,99,63,37,59,65,77,70,39,50,50,25,34,54,58,60,65,51,28,37,50,28,52,99,78
