name,overall,position,secondary_position,height,weight,shot_close,shot_mid,shot_3pt,shot_iq,free_throw,offensive_consistency,driving_layup,standing_dunk,driving_dunk,draw_foul,post_moves,post_hook,post_fade,hands,speed,acceleration,vertical,strength,stamina,hustle,speed_with_ball,ball_handle,passing_accuracy,passing_vision,passing_iq,interior_defense,perimeter_defense,help_defense_iq,lateral_quickness,pass_perception,steal,block,defensive_consistency,offensive_rebound,defensive_rebound,intangibles,potential
Klay Thompson,88,SG,SF,6'6,215,84,85,92,96,82,90,83,35,65,62,71,35,75,94,70,72,69,62,90,87,69,77,78,53,81,70,89,88,89,87,56,57,91,39,54,99,90
C.J. McCollum,83,SG,PG,6'3,190,82,90,81,89,75,88,79,30,43,70,32,37,45,91,78,80,77,58,93,92,78,82,75,69,80,35,68,66,73,54,44,53,63,34,48,99,87
Jonathan Isaac,82,SF,PF,6'11,210,61,76,73,74,74,30,64,58,78,35,72,60,65,68,70,73,77,67,86,90,63,73,63,33,55,77,82,84,82,81,79,89,81,54,71,99,86
Louis Williams,80,PG,SG,6'1,175,78,78,77,94,85,88,85,25,44,79,30,25,58,93,86,77,73,31,85,76,77,85,77,77,83,25,67,69,72,64,52,36,63,46,54,99,81
Devonte Graham,79,PG,SG,6'1,185,58,70,78,91,83,92,81,25,58,83,36,35,32,95,78,78,77,39,92,91,78,82,86,82,88,30,67,73,73,65,48,39,64,38,45,99,81
Marcus Morris Sr,79,PF,SF,6'8,235,76,87,80,98,80,81,79,53,67,63,50,58,60,86,70,46,66,72,90,80,48,58,58,44,44,62,65,67,69,61,39,51,63,50,60,99,80
Enes Kanter,78,C,,6'10,250,84,72,53,89,70,67,76,81,58,55,77,76,77,85,60,25,58,84,82,92,33,49,48,44,64,50,26,49,28,53,37,75,40,89,85,99,78
Otto Porter,78,SF,PF,6'8,198,91,70,79,87,75,70,72,44,67,53,56,63,64,87,65,64,70,58,89,82,63,74,67,44,79,61,70,63,73,62,63,54,52,44,54,99,78
Mohamed Bamba,77,C,,7'0,221,50,63,76,79,64,58,63,83,67,58,66,66,62,89,80,59,72,68,78,82,32,45,35,33,51,76,47,77,62,62,39,92,63,79,83,99,83
Terry Rozier III,77,PG,SG,6'1,190,77,66,81,94,86,92,72,39,67,69,47,44,54,90,78,78,77,60,86,84,78,82,84,74,89,53,72,67,74,68,49,35,60,36,52,99,80
Patrick Mills,77,PG,,6'1,180,80,76,79,97,82,88,81,25,25,64,25,25,36,73,82,82,63,49,81,70,82,85,80,60,84,27,63,59,69,59,53,35,39,32,39,99,77
Danuel House,75,SF,PF,6'6,220,54,67,78,97,78,78,75,77,72,59,46,46,49,89,61,58,72,49,85,80,58,67,66,31,69,50,56,55,66,47,48,54,51,40,51,99,77
Zach Collins,75,PF,C,6'11,235,84,49,73,92,72,53,69,67,63,61,67,69,67,75,63,63,76,58,75,80,37,48,36,37,38,65,44,67,55,63,35,71,49,53,52,99,79
Harry Giles III,75,C,PF,6'11,240,74,78,61,98,74,72,77,81,72,60,67,67,65,80,65,64,72,63,72,80,38,39,63,51,74,65,41,67,58,53,51,60,35,70,82,99,77
Frank Kaminsky III,75,C,PF,7'0,242,90,65,75,93,67,85,75,49,63,69,75,76,76,90,46,51,64,63,85,85,37,52,39,59,50,63,39,61,41,49,36,49,39,56,74,99,77
James Ennis,75,SF,SG,6'6,210,68,78,72,92,77,63,78,67,69,49,47,51,55,85,50,55,64,56,77,75,49,65,63,33,72,65,69,69,66,67,40,54,63,54,60,99,75
R.J. Barrett,75,SG,SF,6'6,210,59,60,72,88,59,83,77,44,77,69,76,50,53,92,80,81,78,52,91,80,78,77,74,59,74,56,66,62,74,53,45,46,44,39,61,99,86
Juan Hernangomez,74,PF,SF,6'9,230,30,65,76,95,64,58,65,58,67,51,61,67,65,72,60,60,67,58,77,80,46,62,53,32,62,62,62,60,63,46,37,49,53,50,74,99,77
Omari Spellman,74,C,PF,6'8,245,72,71,79,92,76,73,67,81,63,69,66,70,66,85,52,50,77,80,80,85,35,38,32,35,50,69,47,69,51,52,51,61,39,66,70,99,76
DeAndre Bembry,74,SG,PG,6'5,210,85,53,57,97,57,74,80,44,72,72,58,39,49,90,67,67,69,58,81,75,64,75,72,51,82,50,72,67,71,81,82,54,58,44,59,99,76
Cameron Reddish,74,SF,SG,6'8,208,61,67,72,74,77,39,70,49,77,50,46,42,50,81,77,82,80,50,83,71,76,76,65,35,69,53,76,65,75,72,54,53,49,36,55,99,84
Sviatoslav Mykhailiuk,73,SF,SG,6'7,205,44,71,81,87,79,68,66,39,53,44,37,41,46,85,78,78,66,52,77,73,72,62,66,46,64,36,53,49,64,52,45,32,30,32,43,99,76
Chris Clemons,73,PG,,5'9,180,57,69,75,97,82,75,76,25,58,62,32,25,44,93,83,83,76,35,85,90,83,82,76,62,75,34,55,46,68,57,37,54,30,31,45,99,73
Nicolas Claxton,73,C,PF,6'11,217,77,62,64,95,62,60,72,72,72,66,62,61,57,80,61,60,76,68,86,85,43,48,39,48,48,67,48,67,52,43,28,71,44,74,63,99,79
Wesley Iwundu,73,SF,SG,6'6,195,68,69,73,84,78,63,58,39,63,43,50,48,56,80,60,62,76,48,77,75,58,71,65,34,62,60,67,63,72,60,42,49,49,38,54,99,74
P.J. Dozier,72,SG,PG,6'6,205,62,72,70,74,58,45,72,49,72,41,38,43,40,78,82,82,81,39,77,70,74,73,65,65,69,47,71,63,73,58,42,58,49,36,52,99,75
Kevin Knox II,72,SF,PF,6'7,215,53,63,73,77,63,39,64,63,72,48,65,57,50,78,72,72,77,67,86,73,69,72,62,44,60,55,66,65,69,66,36,60,39,36,60,99,80
Juan Toscano,71,SF,PF,6'6,209,58,63,75,79,65,35,65,39,65,35,54,30,43,69,65,66,67,60,81,88,62,65,66,53,62,58,58,65,66,58,65,54,38,41,66,99,73
Xavier Tillman,70,PF,C,6'8,250,61,63,60,65,66,30,65,70,65,40,52,50,54,77,46,44,69,72,75,83,37,61,62,59,68,78,60,80,60,52,52,79,65,67,74,40,79
Brian Bowen II,69,SG,SF,6'6,200,66,65,72,84,73,48,67,44,72,41,37,33,46,75,75,75,77,34,81,65,66,66,60,37,64,47,58,58,71,63,53,38,44,36,37,99,75
C.J. Elleby,68,SF,SG,6'6,200,64,70,75,50,76,40,65,40,50,52,45,35,51,85,69,69,72,58,81,68,64,62,50,37,60,48,67,62,71,60,60,47,50,32,60,40,75
Mamadi Diatke,68,PF,C,6'9,228,69,69,66,65,73,25,62,75,75,40,52,50,44,80,83,80,78,60,80,80,44,37,42,31,47,66,45,69,59,52,43,70,45,66,68,25,72
Kenyon Martin Jr.,67,SF,PF,6'7,215,64,66,64,40,63,30,70,65,80,35,44,44,44,75,83,83,82,40,80,60,69,62,47,28,48,50,67,62,70,44,44,52,40,54,59,40,79
