Player,Rating
Giannis Antetokounmpo,97
Joel Embiid,96
LeBron James,96
Kevin Durant,96
Nikola Jokic,96
Stephen Curry,96
Luka Doncic,95
Kawhi Leonard,94
Jayson Tatum,93
Ja Morant,93
Jimmy Butler,93
Devin Booker,91
Trae Young,90
Anthony Davis,90
Chris Paul,90
James Harden,89
DeMar DeRozan,89
Kyrie Irving,89
Karl-Anthony Towns,89
Damian Lillard,89
Zach LaVine,88
Donovan Mitchell,88
Paul George,88
Rudy Gobert,88
Darius Garland,87
Jaylen Brown,87
Bam Adebayo,87
LaMelo Ball,87
Zion Williamson,87
Shai Gilgeous-Alexander,87
Bradley Beal,87
Jrue Holiday,86
Khris Middleton,86
Dejounte Murray,86
Domantas Sabonis,86
Brandon Ingram,86
Pascal Siakam,86
Anthony Edwards,86
Tyrese Maxey,85
Jarrett Allen,85
Robert Williams,85
CJ McCollum,85
Deandre Ayton,85
Kristaps Porzingis,85
Evan Mobley,84
Clint Capela,84
Tyler Herro,84
De'Aaron Fox,84
RJ Barrett,84
Christian Wood,84
Jamal Murray,84
Tyrese Haliburton,84
Cade Cunningham,84
Scottie Barnes,84
Fred VanVleet,84
Andrew Wiggins,84
Nikola Vucevic,83
Desmond Bane,83
John Collins,83
Jalen Brunson,83
Wendell Carter,83
Ben Simmons,83
Jonas Valanciunas,83
Mikal Bridges,83
Jordan Poole,83
Klay Thompson,83
Draymond Green,83
Tobias Harris,82
Lonzo Ball,82
Marcus Smart,82
Al Horford,82
Malcolm Brogdon,82
Steven Adams,82
Kyle Lowry,82
Terry Rozier,82
Mike Conley,82
Julius Randle,82
Myles Turner,82
Jalen Green,82
Keldon Johnson,82
Josh Giddey,82
D'Angelo Russell,82
Jerami Grant,82
Jusuf Nurkic,82
Mitchell Robinson,81
Derrick Rose,81
OG Anunoby,81
Kyle Kuzma,81
Brook Lopez,80
Bobby Portis,80
Kevin Love,80
Norman Powell,80
Dillon Brooks,80
Bogdan Bogdanovic,80
Gordon Hayward,80
Bojan Bogdanovic,80
Harrison Barnes,80
Franz Wagner,80
Spencer Dinwiddie,80
Michael Porter,80
Saddiq Bey,80
Cameron Johnson,80
Anfernee Simons,80
Josh Hart,80
Andre Drummond,79
Kelly Oubre,79
Mo Bamba,79
TJ Warren,79
Aaron Gordon,79
Gary Trent Jr,79
Monte Morris,79
Caris LeVert,78
Ricky Rubio,78
Derrick White,78
Danilo Gallinari,78
John Wall,78
Victor Oladipo,78
PJ Washington,78
Collin Sexton,78
Jarred Vanderbilt,78
Lauri Markkanen,78
Russell Westbrook,78
Patrick Beverley,78
Cole Anthony,78
Paolo Banchero,78
Jonathan Isaac,78
Dorian Finney-Smith,78
Seth Curry,78
Buddy Hield,78
Herb Jones,78
Jabari Smith,78
Jakob Poeltl,78
Jonathan Kuminga,78
PJ Tucker,77
De'Anthony Melton,77
Matisse Thybulle,77
Alex Caruso,77
Grant Williams,77
Ivica Zubac,77
Reggie Jackson,77
Marcus Morris,77
Tyus Jones,77
Jordan Clarkson,77
Davion Mitchell,77
Immanuel Quickley,77
Markelle Fultz,77
JaVale McGee,77
Chris Duarte,77
Kevin Porter,77
Jae'Sean Tate,77
Alperen Sengun,77
Luguentz Dort,77
Chet Holmgren,77
Gary Payton II,77
Will Barton,77
Daniel Gafford,77
Joe Ingles,76
Pat Connaughton,76
Coby White,76
Javonte Green,76
Ayo Dosunmu,76
Payton Pritchard,76
Luke Kennard,76
Robert Covington,76
Nicolas Batum,76
Brandon Clarke,76
De'Andre Hunter,76
Onyeka Okongwu,76
Max Strus,76
Caleb Martin,76
Keegan Murray,76
Malik Monk,76
Kevin Huerter,76
Terence Davis,76
Evan Fournier,76
Obi Toppin,76
Thomas Bryant,76
Dwight Powell,76
Nicolas Claxton,76
Joe Harris,76
Kentavious Caldwell-Pope,76
Bruce Brown,76
Jeff Green,76
Zeke Nnaji,76
Bones Hyland,76
Isaiah Jackson,76
Jalen Smith,76
Jose Alvarado,76
Jaxson Hayes,76
Jaden Ivey,76
Marvin Bagley,76
Isaiah Stewart,76
Kelly Olynyk,76
Alec Burks,76
