Player,Rating
LeBron James,99
Kevin Durant,95
Chris Paul,94
Carmelo Anthony,93
Kobe Bryant,93
Derrick Rose,92
Dwyane Wade,91
Dwight Howard,90
Russell Westbrook,90
Kyrie Irving,89
Rajon Rondo,89
Stephen Curry,88
James Harden,88
Jrue Holiday,88
Kevin Love,88
Deron Williams,88
Tony Parker,87
Tim Duncan,87
LaMarcus Aldridge,86
Rudy Gay,86
Manu Ginobili,86
Blake Griffin,86
Josh Smith,86
Andrew Bynum,86
Marc Gasol,85
Serge Ibaka,85
Ty Lawson,85
John Wall,85
Chris Bosh,84
Kevin Garnett,84
Eric Gordon,84
Al Horford,84
Andre Iguodala,84
Al Jefferson,84
David Lee,84
Dirk Nowitzki,84
Mike Conley,83
Luol Deng,83
Monta Ellis,83
Paul George,83
Brandon Jennings,83
Joe Johnson,83
Paul Millsap,83
Joakim Noah,83
Zach Randolph,83
Kemba Walker,83
DeMarcus Cousins,82
Damian Lillard,82
Kyle Lowry,82
Paul Pierce,82
Iman Shumpert,82
JR Smith,82
Evan Turner,82
OJ Mayo,82
Amare Stoudemire,82
Eric Bledsoe,81
Pau Gasol,81
Marcin Gortat,81
Brook Lopez,81
Greg Monroe,81
David West,81
Nate Robinson,81
Chauncey Billups,81
Kevin Martin,81
Vince Carter,80
Wilson Chandler,80
Tyreke Evans,80
Kenneth Faried,80
Kawhi Leonard,80
Steve Nash,80
Danny Granger,80
Caron Butler,80
Nicolas Batum,79
Andrew Bogut,79
Avery Bradley,79
Jamal Crawford,79
Anthony Davis,79
Raymond Felton,79
Jeff Green,79
Roy Hibbert,79
Nenê,79
Jarrett Jack,79
Luis Scola,79
Ray Allen,79
Shawn Marion,79
Stephen Jackson,79
Larry Sanders,79
Goran Dragic,78
Chandler Parsons,78
Nikola Pekovic,78
Ricky Rubio,78
Rodney Stuckey,78
Louis Williams,78
Maurice Williams,78
Elton Brand,78
Tyson Chandler,77
DeMar DeRozan,77
Danilo Gallinari,77
Michael Kidd-Gilchrist,77
Wesley Matthews,77
Jason Terry,77
Emeka Okafor,77
Andrei Kirilenko,77
Carlos Boozer,77
JJ Hickson,77
Arron Afflalo,76
Trevor Ariza,76
Michael Beasley,76
Anthony Bennett,76
Aaron Brooks,76
Jimmy Butler,76
Darren Collison,76
Taj Gibson,76
Devin Harris,76
Brandon Knight,76
Jameer Nelson,76
Anderson Varejao,76
Victor Oladipo,76
Ben Gordon,76
Andre Miller,76
Jordan Crawford,76
Carl Landry,76
Antawn Jamison,76
Tony Allen,75
Harrison Barnes,75
Bradley Beal,75
Jose Calderon,75
Derrick Favors,75
Tobias Harris,75
George Hill,75
Kris Humphries,75
Ersan Ilyasova,75
Jeremy Lin,75
JaVale McGee,75
Patrick Patterson,75
Jeff Teague,75
Isaiah Thomas,75
Klay Thompson,75
Marcus Thornton,75
Dion Waiters,75
Mario Chalmers,75
Glen Davis,75
Thomas Robinson,75
Chris Kaman,75
DeAndre Jordan,74
Courtney Lee,74
Otto Porter,74
Ramon Sessions,74
Lance Stephenson,74
Thaddeus Young,74
Kirk Hinrich,74
