Player,Rating
LeBron James,96
Stephen Curry,94
Kevin Durant,93
Kawhi Leonard,93
Russell Westbrook,93
Chris Paul,91
DeMarcus Cousins,90
Anthony Davis,90
Draymond Green,90
James Harden,90
Klay Thompson,90
Paul George,89
Kyrie Irving,89
Damian Lillard,89
LaMarcus Aldridge,88
Carmelo Anthony,88
Jimmy Butler,88
Karl-Anthony Towns,88
John Wall,88
DeMar DeRozan,87
Andre Drummond,87
Blake Griffin,87
Dwyane Wade,87
Chris Bosh,86
Kyle Lowry,86
Paul Millsap,86
Lance Stephenson,86
Eric Bledsoe,85
Mike Conley,85
Derrick Favors,85
Marc Gasol,85
Al Horford,85
DeAndre Jordan,85
Isaiah Thomas,85
Kemba Walker,85
Hassan Whiteside,85
Pau Gasol,84
Gordon Hayward,84
Dwight Howard,84
Dirk Nowitzki,84
Giannis Antetokounmpo,83
CJ McCollum,83
Avery Bradley,82
Reggie Jackson,82
Kevin Love,82
Jonas Valanciunas,82
Andrew Wiggins,82
Steven Adams,81
Jae Crowder,81
Rudy Gobert,81
Andre Iguodala,81
Brook Lopez,81
Khris Middleton,81
Kristaps Porzingis,81
Rajon Rondo,81
Tristan Thompson,81
Kenneth Faried,80
Danilo Gallinari,80
Rudy Gay,80
Rodney Hood,80
Tony Parker,80
Zach Randolph,80
Derrick Rose,80
Nikola Vucevic,80
Ryan Anderson,79
Harrison Barnes,79
Nicolas Batum,79
Bradley Beal,79
Kentavious Caldwell-Pope,79
Tyreke Evans,79
Manu Ginobili,79
Marcin Gortat,79
Jrue Holiday,79
Serge Ibaka,79
Al Jefferson,79
Nikola Jokic,79
Enes Kanter,79
Michael Kidd-Gilchrist,79
Greg Monroe,79
Jahlil Okafor,79
Victor Oladipo,79
Chandler Parsons,79
D'Angelo Russell,79
Ben Simmons,79
Jeff Teague,79
Thaddeus Young,79
Tony Allen,78
Will Barton,78
Kent Bazemore,78
Devin Booker,78
Luol Deng,78
Goran Dragic,78
Evan Fournier,78
Tobias Harris,78
Brandon Ingram,78
Brandon Knight,78
Zach LaVine,78
Wesley Matthews,78
Jabari Parker,78
Mason Plumlee,78
JJ Redick,78
Dennis Schroeder,78
Myles Turner,78
Marvin Williams,78
Al-Farouq Aminu,77
Trevor Ariza,77
Bismack Biyombo,77
Andrew Bogut,77
Alec Burks,77
Clint Capela,77
Jordan Clarkson,77
Darren Collison,77
Jamal Crawford,77
Ed Davis,77
Gorgui Dieng,77
Kris Dunn,77
Monta Ellis,77
Joel Embiid,77
Eric Gordon,77
Joe Johnson,77
Robin Lopez,77
Joakim Noah,77
Nerlens Noel,77
Julius Randle,77
Ricky Rubio,77
JR Smith,77
Jared Sullinger,77
Evan Turner,77
Louis Williams,77
Justise Winslow,77
Arron Afflalo,76
Jose Juan Barea,76
Patrick Beverley,76
Bojan Bogdanovic,76
DeMarre Carroll,76
Wilson Chandler,76
Robert Covington,76
Jared Dudley,76
Festus Ezeli,76
Taj Gibson,76
Aaron Gordon,76
Jeff Green,76
Danny Green,76
Gary Harris,76
John Henson,76
Nenê,76
George Hill,76
Jordan Hill,76
Amir Johnson,76
Kyle Korver,76
Courtney Lee,76
Jeremy Lin,76
Shaun Livingston,76
Ian Mahinmi,76
CJ Miles,76
Nikola Mirotic,76
Marcus Morris,76
Markieff Morris,76
Emmanuel Mudiay,76
Kyle O'Quinn,76
Kelly Olynyk,76
Zaza Pachulia,76
Patrick Patterson,76
Otto Porter,76
Marcus Smart,76
Mirza Teletovic,76
TJ Warren,76
Deron Williams,76
Brandan Wright,76
Cody Zeller,76
Darrell Arthur,75
Omer Asik,75
Aron Baynes,75
Michael Beasley,75
Michael Carter-Williams,75
Allen Crabbe,75
Matthew Dellavedova,75
Buddy Hield,75
Ersan Ilyasova,75
Brandon Jennings,75
Stanley Johnson,75
Tyler Johnson,75
Cory Joseph,75
Joffrey Lauvergne,75
Alex Len,75
Jon Leuer,75
Boban Marjanovic,75
Patrick Mills,75
Timofey Mozgov,75
Jamal Murray,75
Larry Nance Jr,75
Jusuf Nurkic,75
Elfrid Payton,75
Josh Richardson,75
Terrence Ross,75
Dario Saric,75
Thabo Sefolosha,75
Ishmael Smith,75
Marreese Speights,75
Tiago Splitter,75
PJ Tucker,75
David West,75
Cole Aldrich,74
Kyle Anderson,74
Matt Barnes,74
Brandon Bass,74
Jerryd Bayless,74
Jaylen Brown,74
Jose Calderon,74
Vince Carter,74
Tyson Chandler,74
Dewayne Dedmon,74
Boris Diaw,74
Dante Exum,74
Raymond Felton,74
Channing Frye,74
Kevin Garnett,74
Gerald Henderson,74
Mario Hezonja,74
Roy Hibbert,74
Solomon Hill,74
Jarrett Jack,74
Richard Jefferson,74
