Player,Rating
LeBron James,98
Dwight Howard,96
Chris Paul,94
Kevin Durant,94
Russell Westbrook,93
Dwyane Wade,93
Kobe Bryant,93
Derrick Rose,92
Carmelo Anthony,92
Deron Williams,90
Rajon Rondo,90
Kevin Love,89
Steve Nash,87
Manu Ginobili,87
Andre Iguodala,87
Rudy Gay,87
Pau Gasol,87
Josh Smith,87
Tim Duncan,87
Tony Parker,86
Monta Ellis,86
Blake Griffin,86
LaMarcus Aldridge,86
Andrew Bynum,86
Joe Johnson,85
Eric Gordon,85
Dirk Nowitzki,85
Danny Granger,84
Kevin Garnett,84
Zach Randolph,84
Amare Stoudemire,84
Al Jefferson,84
Kyrie Irving,83
Kyle Lowry,83
John Wall,83
Luol Deng,83
Paul Millsap,83
Marc Gasol,83
Joakim Noah,83
Stephen Curry,82
Ty Lawson,82
Chauncey Billups,82
Jrue Holiday,82
Paul Pierce,82
Chris Bosh,82
David Lee,82
Al Horford,82
DeMarcus Cousins,82
James Harden,81
Kevin Martin,81
Tyreke Evans,81
Gerald Wallace,81
Caron Butler,81
Jason Kidd,80
Brandon Jennings,80
Rodney Stuckey,80
Iman Shumpert,80
Brandon Roy,80
Wilson Chandler,80
Serge Ibaka,80
Brook Lopez,80
Greg Monroe,80
Marcin Gortat,80
Mike Conley,80
Jarrett Jack,79
Ray Allen,79
Louis Williams,79
Arron Afflalo,79
Avery Bradley,79
Vince Carter,79
Shawn Marion,79
Nicolas Batum,79
Michael Beasley,79
Luis Scola,79
Roy Hibbert,79
Andrew Bogut,79
Anthony Davis,79
Nenê,79
Ricky Rubio,78
Maurice Williams,78
Kemba Walker,78
Paul George,78
Jamal Crawford,78
Stephen Jackson,78
Jeff Green,78
Carlos Boozer,78
Emeka Okafor,78
Jeremy Lin,77
Goran Dragic,77
Darren Collison,77
Nate Robinson,77
Aaron Brooks,77
Gilbert Arenas,77
Jason Terry,77
Wesley Matthews,77
OJ Mayo,77
Shannon Brown,77
Michael Kidd-Gilchrist,77
