Player,Rating
LeBron James,98
Kevin Durant,95
Chris Paul,91
Tim Duncan,90
Carmelo Anthony,89
Stephen Curry,89
Paul George,89
Kevin Love,89
Kobe Bryant,89
LaMarcus Aldridge,88
Anthony Davis,88
James Harden,88
Dwight Howard,88
Dirk Nowitzki,88
Tony Parker,88
Derrick Rose,88
Russell Westbrook,88
Blake Griffin,87
Al Jefferson,87
Damian Lillard,87
Joakim Noah,87
Rajon Rondo,87
DeMarcus Cousins,86
Kyrie Irving,86
Dwyane Wade,86
John Wall,86
Marc Gasol,85
Kawhi Leonard,85
Kyle Lowry,85
Paul Millsap,85
Chris Bosh,84
Goran Dragic,84
Serge Ibaka,84
Ty Lawson,84
Zach Randolph,84
Lance Stephenson,84
Deron Williams,84
Mike Conley,83
DeMar DeRozan,83
Andre Drummond,83
Manu Ginobili,83
Al Horford,83
Brook Lopez,83
Monta Ellis,82
Pau Gasol,82
Rudy Gay,82
Jrue Holiday,82
Andre Iguodala,82
Joe Johnson,82
David Lee,82
Klay Thompson,82
Kemba Walker,82
Eric Bledsoe,81
Kenneth Faried,81
Marcin Gortat,81
Gordon Hayward,81
DeAndre Jordan,81
Nikola Pekovic,81
Paul Pierce,81
Andrew Bogut,80
Jimmy Butler,80
Michael Carter-Williams,80
Jamal Crawford,80
Taj Gibson,80
Roy Hibbert,80
Nenê,80
Brandon Jennings,80
Greg Monroe,80
Isaiah Thomas,80
Nikola Vucevic,80
David West,80
Josh Smith,80
Nicolas Batum,79
Tyson Chandler,79
Darren Collison,79
Luol Deng,79
Eric Gordon,79
Brandon Knight,79
Chandler Parsons,79
Ricky Rubio,79
Kevin Martin,79
Larry Sanders,79
Arron Afflalo,78
Tony Allen,78
Trevor Ariza,78
Patrick Beverley,78
Avery Bradley,78
Jose Calderon,78
Wilson Chandler,78
Boris Diaw,78
Tyreke Evans,78
Derrick Favors,78
Gerald Green,78
Jeff Green,78
Danny Green,78
Gerald Henderson,78
George Hill,78
Reggie Jackson,78
Kyle Korver,78
Wesley Matthews,78
Markieff Morris,78
Victor Oladipo,78
Jabari Parker,78
Miles Plumlee,78
JR Smith,78
Jared Sullinger,78
Jeff Teague,78
Jonas Valanciunas,78
Dion Waiters,78
Nick Young,78
Thaddeus Young,78
Ryan Anderson,77
Bradley Beal,77
Vince Carter,77
Joel Embiid,77
Danilo Gallinari,77
Kevin Garnett,77
Draymond Green,77
Tim Hardaway Jr,77
Amir Johnson,77
Terrence Jones,77
Michael Kidd-Gilchrist,77
Jeremy Lin,77
Robin Lopez,77
Patrick Mills,77
Mason Plumlee,77
JJ Redick,77
Luis Scola,77
Iman Shumpert,77
Tiago Splitter,77
Andrew Wiggins,77
Louis Williams,77
OJ Mayo,77
Shawn Marion,77
Amare Stoudemire,77
JJ Hickson,77
Omer Asik,76
DJ Augustin,76
Harrison Barnes,76
Matt Barnes,76
Alec Burks,76
Channing Frye,76
Tobias Harris,76
Spencer Hawes,76
Jordan Hill,76
Courtney Lee,76
Nerlens Noel,76
Julius Randle,76
Terrence Ross,76
Marcus Smart,76
Tristan Thompson,76
Marcus Thornton,76
PJ Tucker,76
Evan Turner,76
Greivis Vasquez,76
Maurice Williams,76
Nate Robinson,76
Steve Nash,76
Andre Miller,76
Kirk Hinrich,76
Danny Granger,76
Caron Butler,76
Chris Kaman,76
Samuel Dalembert,76
Chris Andersen,75
Brandon Bass,75
Marco Belinelli,75
Corey Brewer,75
Trey Burke,75
DeMarre Carroll,75
Devin Harris,75
John Henson,75
Enes Kanter,75
Ian Mahinmi,75
Doug McDermott,75
Jodie Meeks,75
Khris Middleton,75
Nikola Mirotic,75
Marcus Morris,75
Patrick Patterson,75
Rodney Stuckey,75
Anderson Varejao,75
CJ Watson,75
Brandan Wright,75
Mario Chalmers,75
Nate Wolters,75
Norris Cole,75
Gary Neal,75
Tayshaun Prince,75
Carl Landry,75
Thomas Robinson,75
Jason Thompson,75
Steven Adams,74
Al-Farouq Aminu,74
Giannis Antetokounmpo,74
Jose Juan Barea,74
Jerryd Bayless,74
Kent Bazemore,74
Trevor Booker,74
Nick Collison,74
Jared Dudley,74
Mike Dunleavy,74
Dante Exum,74
Raymond Felton,74
Randy Foye,74
Aaron Gordon,74
Moe Harkless,74
Jarrett Jack,74
Shaun Livingston,74
Luc Mbah a Moute,74
Ray McCallum,74
JaVale McGee,74
Ben McLemore,74
Josh McRoberts,74
Mike Miller,74
Timofey Mozgov,74
Shabazz Napier,74
Kelly Olynyk,74
Elfrid Payton,74
Brian Roberts,74
Thabo Sefolosha,74
Ramon Sessions,74
Kyle Singler,74
Nik Stauskas,74
Jason Terry,74
Beno Udrih,74
Tony Wroten,74
Kendall Marshall,74
Andrei Kirilenko,74
Gerald Wallace,74
Glen Davis,74
Reggie Evans,74
Kendrick Perkins,74
Kevin Seraphin,74
Bismack Biyombo,73
Aaron Brooks,73
Ed Davis,73
Kris Humphries,73
Ersan Ilyasova,73
Wesley Johnson,73
Cory Joseph,73
Jeremy Lamb,73
CJ Miles,73
Anthony Morrow,73
Anthony Tolliver,73
Marvin Williams,73
Cody Zeller,73
Jason Richardson,73
Xavier Henry,73
John Salmons,73
Martell Webster,73
Tyler Hansbrough,73
Matt Bonner,73
Michael Beasley,72
Bojan Bogdanovic,72
Kentavious Caldwell-Pope,72
Isaiah Canaan,72
Omri Casspi,72
Jae Crowder,72
Gorgui Dieng,72
Evan Fournier,72
Udonis Haslem,72
Richard Jefferson,72
Kosta Koufos,72
Zach LaVine,72
CJ McCollum,72
Jameer Nelson,72
Steve Novak,72
Pablo Prigioni,72
Austin Rivers,72
Mike Scott,72
Jason Smith,72
Tony Snell,72
Marreese Speights,72
Noah Vonleh,72
TJ Warren,72
Shane Larkin,72
Ben Gordon,72
Luke Ridnour,72
Jordan Farmar,72
Jimmer Fredette,72
Dorell Wright,72
Andrea Bargnani,72
Nick Calathes,72
Vitor Faverani,72
Jordan Adams,71
Alan Anderson,71
Troy Daniels,71
Wayne Ellington,71
Tyler Ennis,71
Rudy Gobert,71
Gary Harris,71
Rodney Hood,71
Jonas Jerebko,71
Shelvin Mack,71
Andrew Nicholson,71
Adreian Payne,71
Mirza Teletovic,71
Hollis Thompson,71
Derrick Williams,71
Steve Blake,71
Willie Green,71
Chris Copeland,71
DeJuan Blair,71
Jeff Adrien,71
Nick Johnson,71
PJ Hairston,71
Ryan Kelly,71
Jarnell Stokes,71
Will Barton,70
Anthony Bennett,70
Jordan Clarkson,70
James Ennis,70
Jeremy Evans,70
James Johnson,70
Kyle O'Quinn,70
Dennis Schroeder,70
Elliot Williams,70
Tyler Zeller,70
Will Bynum,70
Alexey Shved,70
Carlos Delfino,70
Chase Budinger,70
Cartier Martin,70
Drew Gooden,70
Phil Pressey,70
Cleanthony Early,70
Darrell Arthur,69
Tarik Black,69
Reggie Bullock,69
Robert Covington,69
Spencer Dinwiddie,69
Tim Frazier,69
Langston Galloway,69
Alonzo Gee,69
Archie Goodwin,69
JaMychal Green,69
Justin Hamilton,69
Joe Ingles,69
James Jones,69
Joffrey Lauvergne,69
Jon Leuer,69
KJ McDaniels,69
Donatas Motiejunas,69
Jusuf Nurkic,69
Zaza Pachulia,69
Ronnie Price,69
Damjan Rudez,69
Brandon Rush,69
Jeff Withey,69
Marquis Teague,69
John Lucas,69
Jamaal Franklin,69
Landry Fields,69
