Player,Rating
LeBron James,98
Dwyane Wade,96
Kobe Bryant,94
Chris Paul,93
Dwight Howard,93
Derrick Rose,92
Kevin Durant,92
Carmelo Anthony,91
Deron Williams,90
Amare Stoudemire,88
Russell Westbrook,88
Rudy Gay,86
Pau Gasol,86
Andre Iguodala,85
Rajon Rondo,85
Blake Griffin,85
Dirk Nowitzki,85
Manu Ginobili,85
Joe Johnson,84
Josh Smith,84
Tim Duncan,84
Steve Nash,84
Stephen Jackson,83
Kevin Garnett,83
Zach Randolph,83
Gerald Wallace,83
LaMarcus Aldridge,83
Monta Ellis,83
Joakim Noah,82
Paul Pierce,82
Eric Gordon,82
John Wall,82
Al Jefferson,81
Caron Butler,81
Danny Granger,81
Kevin Love,81
Ray Allen,80
Al Horford,80
Chris Bosh,80
Paul Millsap,80
Tyreke Evans,80
Tony Parker,80
Grant Hill,80
Stephen Curry,80
Jrue Holiday,79
Chauncey Billups,79
Andrew Bynum,79
Kevin Martin,79
David Lee,79
Brandon Jennings,78
Andrew Bogut,78
Jamal Crawford,78
Devin Harris,78
Lamar Odom,78
Shawn Marion,78
Michael Beasley,78
Brandon Roy,78
Elton Brand,77
Luol Deng,77
Carlos Boozer,77
OJ Mayo,77
Shane Battier,77
Gilbert Arenas,77
Jason Kidd,77
Ty Lawson,77
Nenê,77
Tayshaun Prince,77
Luis Scola,77
Mike Conley,77
Chris Kaman,76
Jason Terry,76
Brook Lopez,76
JR Smith,76
Kenyon Martin,76
Richard Hamilton,76
Kyle Lowry,76
Vince Carter,76
Darren Collison,75
Serge Ibaka,75
Raymond Felton,75
Louis Williams,74
Thaddeus Young,74
Corey Maggette,74
Antawn Jamison,74
David West,74
Marcus Thornton,74
JJ Hickson,74
Jameer Nelson,74
Paul George,74
Rodney Stuckey,74
Ben Gordon,74
Nate Robinson,74
James Harden,74
Nicolas Batum,74
Dorell Wright,74
Rashard Lewis,74
Maurice Williams,74
Hidayet Turkoglu,74
Tyrus Thomas,73
Taj Gibson,73
Baron Davis,73
Marc Gasol,73
Emeka Okafor,73
Jason Richardson,73
Dahntay Jones,73
Marcin Gortat,73
Wesley Matthews,73
Nick Young,73
DJ Augustin,72
Ramon Sessions,72
Kirk Hinrich,72
Trevor Ariza,72
Carl Landry,72
John Salmons,72
Shannon Brown,72
George Hill,72
Roy Hibbert,72
Terrence Williams,72
Patrick Patterson,72
Richard Jefferson,72
Jared Dudley,72
Earl Boykins,72
Evan Turner,71
DeMarcus Cousins,71
Landry Fields,71
Matt Barnes,71
Quentin Richardson,71
Andre Miller,71
Arron Afflalo,71
Tyler Hansbrough,71
Leandro Barbosa,71
Kendrick Perkins,71
Marcus Camby,71
Andray Blatche,71
Anderson Varejao,70
Glen Davis,70
Derrick Favors,70
Brandon Bass,70
DeShawn Stevenson,70
Tyson Chandler,70
Kris Humphries,70
Jason Maxiell,70
Jonny Flynn,70
Courtney Lee,70
Chuck Hayes,70
Josh Childress,70
Wesley Johnson,70
Martell Webster,70
Greg Oden,70
Maurice Evans,70
JaVale McGee,70
Gerald Henderson,69
Michael Redd,69
Ronnie Brewer,69
Delonte West,69
Al-Farouq Aminu,69
Ishmael Smith,69
Francisco Garcia,69
Toney Douglas,69
Rodrigue Beaubois,69
Damion James,69
TJ Ford,69
Will Bynum,69
Tracy McGrady,69
Ben Wallace,69
DeMar DeRozan,69
Chase Budinger,69
Anthony Randolph,69
Josh Howard,69
Jose Calderon,69
Keith Bogans,68
Jermaine O'Neal,68
