Player,Rating
LeBron James,94
Stephen Curry,93
Anthony Davis,92
James Harden,92
Kevin Durant,91
Chris Paul,90
Russell Westbrook,89
LaMarcus Aldridge,88
Carmelo Anthony,88
Blake Griffin,88
DeMarcus Cousins,87
Marc Gasol,87
Kyrie Irving,87
Kawhi Leonard,87
Klay Thompson,87
John Wall,87
Tim Duncan,87
Jimmy Butler,86
Pau Gasol,86
Paul George,86
Damian Lillard,86
Dwyane Wade,86
Mike Conley,85
Dwight Howard,85
Kobe Bryant,85
Chris Bosh,84
DeAndre Jordan,84
Dirk Nowitzki,84
Zach Randolph,84
DeMar DeRozan,83
Andre Drummond,83
Rudy Gay,83
Gordon Hayward,83
Al Horford,83
Al Jefferson,83
Brook Lopez,83
Kyle Lowry,83
Paul Millsap,83
Tony Parker,83
Jeff Teague,83
Nikola Vucevic,83
Eric Bledsoe,82
Derrick Favors,82
Draymond Green,82
Greg Monroe,82
Derrick Rose,82
Giannis Antetokounmpo,81
Goran Dragic,81
Monta Ellis,81
Brandon Knight,81
Ty Lawson,81
Kevin Love,81
Isaiah Thomas,81
Kemba Walker,81
Hassan Whiteside,81
Bradley Beal,80
Tyreke Evans,80
Jrue Holiday,80
Serge Ibaka,80
Brandon Jennings,80
Enes Kanter,80
Victor Oladipo,80
Andrew Wiggins,80
Louis Williams,80
DeMarre Carroll,79
Tyson Chandler,79
Darren Collison,79
Jamal Crawford,79
Kenneth Faried,79
Rudy Gobert,79
Tobias Harris,79
Joe Johnson,79
Kyle Korver,79
Wesley Matthews,79
Joakim Noah,79
Chandler Parsons,79
JJ Redick,79
Kevin Martin,79
Tony Allen,78
Luol Deng,78
Manu Ginobili,78
Eric Gordon,78
Marcin Gortat,78
George Hill,78
Reggie Jackson,78
Michael Kidd-Gilchrist,78
Khris Middleton,78
Markieff Morris,78
Paul Pierce,78
Karl-Anthony Towns,78
Jonas Valanciunas,78
Deron Williams,78
Harrison Barnes,77
Nicolas Batum,77
Andrew Bogut,77
Avery Bradley,77
Michael Carter-Williams,77
Wilson Chandler,77
Jeff Green,77
Roy Hibbert,77
Andre Iguodala,77
Timofey Mozgov,77
Nerlens Noel,77
Jahlil Okafor,77
Jabari Parker,77
Nikola Pekovic,77
Rajon Rondo,77
Ricky Rubio,77
D'Angelo Russell,77
Jared Sullinger,77
Tristan Thompson,77
David West,77
Steven Adams,76
Ryan Anderson,76
Omer Asik,76
Patrick Beverley,76
Corey Brewer,76
Alec Burks,76
Jae Crowder,76
Ed Davis,76
Joel Embiid,76
Danilo Gallinari,76
Kevin Garnett,76
Taj Gibson,76
Gerald Green,76
Danny Green,76
Nenê,76
Amir Johnson,76
David Lee,76
Elfrid Payton,76
Mason Plumlee,76
Dennis Schroeder,76
JR Smith,76
Marreese Speights,76
Tiago Splitter,76
Rodney Stuckey,76
Anderson Varejao,76
Maurice Williams,76
Tyler Zeller,76
Amare Stoudemire,76
Chris Kaman,76
Arron Afflalo,75
Trevor Ariza,75
Aaron Brooks,75
Jordan Clarkson,75
Jared Dudley,75
Jordan Hill,75
Solomon Hill,75
James Johnson,75
Terrence Jones,75
Courtney Lee,75
Jeremy Lin,75
Robin Lopez,75
JaVale McGee,75
Donatas Motiejunas,75
Emmanuel Mudiay,75
Shabazz Muhammad,75
Luis Scola,75
Iman Shumpert,75
PJ Tucker,75
Beno Udrih,75
Brandan Wright,75
Thaddeus Young,75
Tony Wroten,75
OJ Mayo,75
Josh Smith,75
Alexis Ajinca,74
Leandro Barbosa,74
Jose Juan Barea,74
Brandon Bass,74
Trevor Booker,74
Willie Cauley-Stein,74
Boris Diaw,74
Gorgui Dieng,74
Aaron Gordon,74
Devin Harris,74
Gerald Henderson,74
John Henson,74
Ersan Ilyasova,74
Jarrett Jack,74
Cory Joseph,74
Alex Len,74
Jodie Meeks,74
Patrick Mills,74
Nikola Mirotic,74
Jusuf Nurkic,74
Kelly Olynyk,74
Patrick Patterson,74
Kristaps Porzingis,74
Julius Randle,74
Thabo Sefolosha,74
Marcus Smart,74
Lance Stephenson,74
Evan Turner,74
CJ Watson,74
Justise Winslow,74
Cody Zeller,74
Carl Landry,74
Andrea Bargnani,74
Al-Farouq Aminu,73
Chris Andersen,73
DJ Augustin,73
Matt Barnes,73
Will Barton,73
Marco Belinelli,73
Trey Burke,73
Jose Calderon,73
Kentavious Caldwell-Pope,73
Isaiah Canaan,73
Vince Carter,73
Omri Casspi,73
Nick Collison,73
Robert Covington,73
Mike Dunleavy,73
Dante Exum,73
Tim Hardaway Jr,73
Mario Hezonja,73
Stanley Johnson,73
Tyler Johnson,73
Frank Kaminsky,73
Jeremy Lamb,73
Zach LaVine,73
Shaun Livingston,73
Ian Mahinmi,73
Ben McLemore,73
CJ Miles,73
Marcus Morris,73
Zaza Pachulia,73
Austin Rivers,73
Terrence Ross,73
Myles Turner,73
Greivis Vasquez,73
Dion Waiters,73
Nick Young,73
Andre Miller,73
Donald Sloan,73
Tayshaun Prince,73
Thomas Robinson,73
Tyler Hansbrough,73
JJ Hickson,73
Mitch McGary,73
Cole Aldrich,72
Jerryd Bayless,72
Aron Baynes,72
Kent Bazemore,72
Bismack Biyombo,72
Nemanja Bjelica,72
Devin Booker,72
Festus Ezeli,72
Evan Fournier,72
Randy Foye,72
Langston Galloway,72
Justin Holiday,72
Rondae Hollis-Jefferson,72
Kris Humphries,72
Richard Jefferson,72
Jonas Jerebko,72
Wesley Johnson,72
Kosta Koufos,72
Meyers Leonard,72
Jon Leuer,72
Trey Lyles,72
Shelvin Mack,72
CJ McCollum,72
Anthony Morrow,72
Mike Muscala,72
Jameer Nelson,72
Kyle O'Quinn,72
Cameron Payne,72
Quincy Pondexter,72
Otto Porter,72
Andre Roberson,72
Brian Roberts,72
Mike Scott,72
Ramon Sessions,72
Jason Smith,72
Tony Snell,72
Marcus Thornton,72
Noah Vonleh,72
TJ Warren,72
Derrick Williams,72
Mario Chalmers,72
Caron Butler,72
Charlie Villanueva,72
Kendrick Perkins,72
Kevin Seraphin,72
Jarnell Stokes,72
Lavoy Allen,71
Justin Anderson,71
Kyle Anderson,71
Darrell Arthur,71
Bojan Bogdanovic,71
Dewayne Dedmon,71
Raymond Felton,71
Channing Frye,71
Udonis Haslem,71
Spencer Hawes,71
Rodney Hood,71
Ray McCallum,71
Josh McRoberts,71
Shabazz Napier,71
Kelly Oubre,71
Miles Plumlee,71
Bobby Portis,71
Pablo Prigioni,71
Kyle Singler,71
Garrett Temple,71
Jason Terry,71
Hollis Thompson,71
Marvin Williams,71
Kendall Marshall,71
Chase Budinger,71
Louis Amundson,71
Ryan Hollins,71
Henry Sims,71
Jordan Adams,70
Luke Babbitt,70
Clint Capela,70
Sam Dekker,70
Matthew Dellavedova,70
Spencer Dinwiddie,70
Wayne Ellington,70
James Ennis,70
Jeremy Evans,70
Alonzo Gee,70
Joe Ingles,70
TJ McConnell,70
KJ McDaniels,70
E'Twaun Moore,70
Raul Neto,70
Ishmael Smith,70
Lance Thomas,70
Anthony Tolliver,70
Jeff Withey,70
Delon Wright,70
Metta World Peace,70
Sergey Karasev,70
DeJuan Blair,70
Drew Gooden,70
Jason Thompson,70
Matt Bonner,70
Sonny Weems,70
Quincy Acy,69
Cliff Alexander,69
Alan Anderson,69
Anthony Bennett,69
Tarik Black,69
Dante Cunningham,69
Tim Frazier,69
Archie Goodwin,69
Jerami Grant,69
Jerian Grant,69
Montrezl Harrell,69
Marcelo Huertas,69
James Jones,69
Tyus Jones,69
Joffrey Lauvergne,69
Kevon Looney,69
Boban Marjanovic,69
Luc Mbah a Moute,69
Adreian Payne,69
Ronnie Price,69
Terry Rozier,69
JaKarr Sampson,69
Jonathon Simmons,69
Nik Stauskas,69
Mirza Teletovic,69
Rashad Vaughn,69
Sasha Vujacic,69
Perry Jones,69
Robert Sacre,69
PJ Hairston,69
Cory Jefferson,69
Damien Inglis,69
Furkan Aldemir,69
Sasha Kaun,69
Tibor Pleiss,69
Anthony Brown,68
Moe Harkless,68
Darrun Hilliard,68
Nikola Jokic,68
Doug McDermott,68
Jordan McRae,68
Salah Mejri,68
Jordan Mickey,68
Mike Miller,68
Larry Nance Jr,68
Andrew Nicholson,68
Lucas Nogueira,68
Dwight Powell,68
Norman Powell,68
Willie Reed,68
Damjan Rudez,68
James Young,68
Joseph Young,68
